,dir,LoC,frac
0,,15266,0.0
1,Documentation,1860,0.1218393816323857
2,Documentation/RelNotes,37,0.01989247311827957
3,Documentation/technical,181,0.09731182795698924
4,block-sha1,4,0.00026202017555351765
5,builtin,956,0.06262282195729071
6,compat,13,0.0008515655705489323
7,contrib,399,0.026136512511463383
8,contrib/completion,144,0.3609022556390977
9,contrib/examples,103,0.2581453634085213
10,contrib/hooks,13,0.03258145363408521
11,contrib/mw-to-git,7,0.017543859649122806
12,contrib/svn-fe,131,0.3283208020050125
13,gitk-git,15,0.0009825756583256911
14,gitweb,6,0.0003930302633302764
15,perl,2078,0.1361194812000524
16,perl/Git,2043,0.9831568816169394
17,perl/Git/SVN,2041,0.9990210474791973
18,perl/Git/SVN/Memoize,93,0.04556589906908378
19,t,6719,0.4401283898860212
20,t/perf,3,0.0004464950141390088
21,t/t4135,145,0.02158059235005209
22,vcs-svn,891,0.05836499410454605
23,xdiff,40,0.002620201755535176
