,dir,LoC,frac
0,,115080,0.0
1,Documentation,29747,0.2584897462634689
2,Documentation/RelNotes,18798,0.6319292701785054
3,Documentation/howto,1070,0.03597001378290248
4,Documentation/technical,976,0.03281003126365684
5,block-sha1,2,1.737921445950643e-05
6,builtin,13315,0.11570212026416406
7,compat,81,0.0007038581856100105
8,compat/regex,55,0.6790123456790124
9,compat/win32,1,0.012345679012345678
10,contrib,4085,0.03549704553354188
11,contrib/completion,137,0.03353733170134639
12,contrib/convert-objects,8,0.0019583843329253367
13,contrib/examples,3857,0.9441860465116279
14,contrib/fast-import,2,0.0004895960832313342
15,contrib/gitview,1,0.0002447980416156671
16,contrib/remote-helpers,27,0.006609547123623011
17,contrib/stats,8,0.0019583843329253367
18,git-gui,4701,0.04084984358706986
19,git-gui/lib,9,0.0019144862795149968
20,git-gui/po,4279,0.910231865560519
21,gitk-git,2338,0.020316301703163016
22,gitk-git/po,2152,0.9204448246364414
23,gitweb,138,0.0011991657977059437
24,mergetools,26,0.00022592978797358358
25,perl,62,0.0005387556482446994
26,po,84,0.00072992700729927
27,refs,1,8.689607229753214e-06
28,t,31703,0.2754866180048662
29,t/diff-lib,407,0.012837901775857174
30,t/lib-httpd,2,6.308551241207457e-05
31,t/t3900,18,0.0005677696117086711
32,t/t4013,5034,0.1587862347411917
33,t/t4034,57,0.0017979371037441252
34,t/t4034/perl,57,1.0
35,t/t4100,58,0.0018294798599501625
36,t/t4109,78,0.0024603349840709083
37,t/t4110,20,0.0006308551241207456
38,t/t4252,210,0.00662397880326783
39,t/t5100,1037,0.032709838185660665
40,t/t5515,812,0.025612718039302273
41,t/t8005,6,0.0001892565372362237
42,templates,273,0.0023722627737226276
43,xdiff,231,0.0020072992700729928
