,dir,LoC,frac
0,,14649,0.0
1,Documentation,668,0.04560038227865383
2,Documentation/RelNotes,170,0.25449101796407186
3,Documentation/technical,108,0.16167664670658682
4,builtin,988,0.06744487678339818
5,contrib,3294,0.22486176530821217
6,contrib/examples,2,0.0006071645415907711
7,contrib/hooks,3292,0.9993928354584092
8,contrib/hooks/multimail,3276,0.9951397326852977
9,refs,3679,0.25114342275923274
10,t,2522,0.1721619223155164
11,t/t5515,2,0.0007930214115781126
12,t/t9601,325,0.12886597938144329
13,t/t9601/cvsroot,325,1.0
14,t/t9601/cvsroot/module,324,0.9969230769230769
15,t/t9602,840,0.3330689928628073
16,t/t9602/cvsroot,778,0.9261904761904762
17,t/t9602/cvsroot/module,777,0.9987146529562982
18,t/t9602/cvsroot/module/sub1,310,0.398970398970399
19,t/t9602/cvsroot/module/sub1/subsubA,101,0.3258064516129032
20,t/t9602/cvsroot/module/sub1/subsubB,107,0.34516129032258064
21,t/t9602/cvsroot/module/sub2,263,0.3384813384813385
22,t/t9602/cvsroot/module/sub2/Attic,59,0.22433460076045628
23,t/t9602/cvsroot/module/sub2/subsubA,102,0.38783269961977185
24,t/t9602/cvsroot/module/sub3,102,0.13127413127413126
