,dir,LoC,frac
0,,24636,0.0
1,Documentation,2353,0.09551063484331872
2,Documentation/RelNotes,133,0.056523586910327245
3,Documentation/technical,424,0.18019549511262217
4,builtin,958,0.03888618282188667
5,compat,12,0.0004870920603994155
6,contrib,1183,0.04801915895437571
7,contrib/completion,504,0.4260355029585799
8,contrib/convert-objects,4,0.0033812341504649195
9,contrib/examples,142,0.12003381234150465
10,contrib/fast-import,93,0.07861369399830938
11,contrib/hooks,421,0.3558748943364328
12,contrib/workdir,19,0.016060862214708368
13,git-gui,13441,0.5455836986523787
14,git-gui/lib,7958,0.5920690424819582
15,git-gui/macosx,48,0.003571162859906257
16,git-gui/po,2799,0.20824343426828362
17,git-gui/po/glossary,13,0.004644515898535191
18,gitk-git,24,0.000974184120798831
19,gitweb,1,4.0591005033284626e-05
20,perl,6,0.00024354603019970775
21,t,2011,0.08162851112193538
22,t/lib-httpd,33,0.016409746394828444
23,t/t5515,10,0.004972650422675286
24,templates,6,0.00024354603019970775
