,dir,LoC,frac
0,,12539,0.0
1,Documentation,1905,0.1519259909083659
2,builtin,309,0.024643113485923917
3,contrib,285,0.022729085254007495
4,contrib/completion,65,0.22807017543859648
5,contrib/examples,40,0.14035087719298245
6,gitk-git,174,0.01387670468139405
7,perl,3,0.0002392535289895526
8,po,16,0.001276018821277614
9,t,6478,0.5166281202647739
10,t/perf,782,0.12071627045384378
11,t/t4013,65,0.010033961099104661
12,t/t4034,653,0.10080271688792837
13,t/t4034/bibtex,34,0.05206738131699847
14,t/t4034/cpp,74,0.11332312404287902
15,t/t4034/csharp,71,0.10872894333843798
16,t/t4034/fortran,20,0.030627871362940276
17,t/t4034/html,14,0.021439509954058193
18,t/t4034/java,74,0.11332312404287902
19,t/t4034/objc,71,0.10872894333843798
20,t/t4034/pascal,71,0.10872894333843798
21,t/t4034/php,71,0.10872894333843798
22,t/t4034/python,68,0.10413476263399694
23,t/t4034/ruby,68,0.10413476263399694
24,t/t4034/tex,17,0.026033690658499236
25,t/t4100,2,0.00030873726458783575
26,t/t4211,1554,0.23988885458474837
27,t/t9700,2,0.00030873726458783575
28,t/valgrind,15,0.002315529484408768
29,xdiff,92,0.00733710822234628
