,Total,.c,.sh,.po,.txt,,.perl,.h,.pot,.tcl,.pm,.py,.bash,.el,.pl,.js,.ac,.master,.css,.mbox,.uname,.go,.sample,.side,.in,.export,.conf,.php,.zsh,.S,.rst,.t,.gpg,.tcsh,.xsl,.expect,.multiple,.diff,.example,.yml,.PL,.git,.supp,.m4,.show_side,.config,.show_master,.log_master,.whatchanged_master,.plist,.rc,.txto,.git_one_two,.Git,.git_one,.netrc,.README,.cnf,.NUL,.show_initial,.subjectprefix_DIFFERENT_PREFIX
Total,764802.0,198828.0,172727.0,159684.0,81591.0,40467.0,27404.0,22833.0,13964.0,12242.0,9302.0,7825.0,2759.0,2189.0,1618.0,1613.0,1191.0,1083.0,982.0,749.0,563.0,558.0,496.0,484.0,432.0,406.0,313.0,249.0,225.0,224.0,195.0,167.0,142.0,126.0,124.0,111.0,104.0,100.0,95.0,91.0,62.0,52.0,51.0,40.0,38.0,37.0,36.0,34.0,32.0,30.0,22.0,18.0,16.0,15.0,14.0,13.0,12.0,8.0,7.0,7.0,2.0
Junio C Hamano,115080.0,37433,27753,6220,28929,8732,1883,2147,0,9,56,0,127,0,8,0,9,289,0,482,4,0,231,353,107,0,8,0,0,0,0,0,0,0,8,94,0,0,0,0,1,32,0,0,38,0,35,33,32,0,0,0,10,0,10,0,0,0,0,7,0
Jeff King,31776.0,13134,11724,0,3175,879,434,1642,0,0,0,0,13,0,63,0,1,0,0,0,512,0,0,0,31,0,76,0,0,0,0,0,47,0,0,13,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Jiang Xin,24649.0,1170,718,11256,81,15,0,6,11401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawn O. Pearce,24636.0,5392,4748,1519,2353,577,137,124,1248,7945,0,0,504,0,0,34,0,0,0,0,0,0,0,0,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
Nguyễn Thái Ngọc Duy,20908.0,13226,5499,0,1233,167,0,746,0,0,0,0,2,0,0,0,0,14,0,0,0,0,4,8,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Krefting,16243.0,4,11,15718,0,3,456,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Shopov,16182.0,0,0,16149,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johannes Schindelin,15963.0,7531,4996,0,1345,308,183,247,1006,2,0,79,7,4,0,0,1,150,18,0,3,0,0,55,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Nieder,15266.0,3111,6625,0,1914,1040,76,180,0,0,2043,0,144,0,4,0,22,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ævar Arnfjörð Bjarmason,14688.0,11093,1306,93,107,621,151,1076,0,0,98,0,0,0,120,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Haggerty,14649.0,6611,1452,0,668,1989,15,1436,0,0,0,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Paul Mackerras,14063.0,90,0,4360,0,9569,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linus Torvalds,13907.0,11263,772,0,150,705,10,948,0,0,0,0,0,0,0,0,0,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralf Thielow,12887.0,81,260,12489,22,15,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trần Ngọc Quân,12585.0,0,0,12580,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Rast,12539.0,2724,4133,16,1881,2280,668,237,0,0,3,0,65,0,2,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,16,2,104,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Noel Avila,12026.0,2,0,12019,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Henrie,11543.0,92,3,11433,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimitriy Ryazantcev,11484.0,0,0,11479,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Couder,11237.0,3011,3072,2063,2970,33,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johan Herland,10145.0,2789,6527,0,449,33,6,337,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marius Storm-Olsen,9327.0,1208,301,0,268,86,0,5953,0,0,834,19,2,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Narębski,9215.0,16,1140,0,950,453,4544,0,0,0,17,0,0,92,4,1198,252,0,528,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miklos Vajna,6930.0,2700,815,2448,798,61,11,80,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
René Scharfe,6283.0,4007,1841,0,204,28,0,202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Bruce Fields,6152.0,34,16,0,5792,6,0,1,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthieu Moy,5895.0,924,1794,0,650,512,344,63,0,0,1,1368,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,195,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Pete Wyckoff,5778.0,112,4328,0,486,2,0,0,0,0,0,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Johannes Sixt,5625.0,1833,2402,0,251,313,17,706,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Marco Paolone,5371.0,0,0,5366,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jens Lehmann,5299.0,919,3847,0,317,62,0,46,0,107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Sousa,4983.0,0,0,4979,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Pitre,4899.0,3447,678,0,445,72,2,239,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,9,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Tan,4520.0,3416,1004,0,50,2,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Barkalow,4422.0,3285,200,0,349,108,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Stimming,4412.0,0,154,3603,38,141,0,0,251,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Erwin Ittner,4328.0,0,0,4328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Wong,4294.0,103,2193,0,406,13,1496,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicent Marti,4255.0,3141,34,0,203,9,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanako Shiraishi,4147.0,75,1370,2226,468,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael G. Schwern,3587.0,0,9,0,0,6,61,0,0,0,3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Gavrilov,3514.0,86,659,0,118,658,21,0,0,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karsten Blees,3483.0,2179,405,0,477,14,0,403,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
