,dir,LoC,frac
0,,31776,1.0
1,Documentation,3232,0.10171198388721048
2,Documentation/RelNotes,42,0.012995049504950494
3,Documentation/howto,477,0.14758663366336633
4,Documentation/technical,682,0.2110148514851485
5,builtin,2911,0.0916100201409869
6,compat,167,0.005255538771399799
7,compat/nedmalloc,3,0.017964071856287425
8,contrib,958,0.030148539778449144
9,contrib/completion,15,0.015657620041753653
10,contrib/credential,188,0.19624217118997914
11,contrib/credential/osxkeychain,188,1.0
12,contrib/diff-highlight,400,0.4175365344467641
13,contrib/examples,61,0.06367432150313153
14,contrib/fast-import,63,0.06576200417536535
15,contrib/git-jump,159,0.16597077244258873
16,contrib/stats,62,0.06471816283924843
17,contrib/subtree,9,0.009394572025052192
18,contrib/workdir,1,0.0010438413361169101
19,ewah,19,0.0005979355488418932
20,gitk-git,3,9.441087613293051e-05
21,gitweb,9,0.00028323262839879157
22,t,11762,0.3701535750251762
23,t/lib-gpg,47,0.003995919061384118
24,t/lib-httpd,97,0.00824689678626084
25,t/perf,87,0.007396701241285495
26,t/t4020,7,0.000595136881482741
27,t/t5100,44,0.0037408603978915152
28,t/t9700,1,8.501955449753443e-05
29,t/valgrind,25,0.0021254888624383608
