,dir,LoC,frac
0,,15963,1.0
1,Documentation,1446,0.09058447660214246
2,Documentation/RelNotes,6,0.004149377593360996
3,Documentation/howto,50,0.034578146611341634
4,Documentation/technical,160,0.11065006915629322
5,builtin,2282,0.14295558478982648
6,compat,95,0.005951262294055002
7,compat/nedmalloc,3,0.031578947368421054
8,compat/regex,4,0.042105263157894736
9,contrib,294,0.018417590678443903
10,contrib/completion,7,0.023809523809523808
11,contrib/emacs,4,0.013605442176870748
12,contrib/examples,153,0.5204081632653061
13,contrib/fast-import,94,0.3197278911564626
14,contrib/hg-to-git,9,0.030612244897959183
15,git-gui,1136,0.07116456806364718
16,git-gui/lib,2,0.0017605633802816902
17,git-gui/po,1134,0.9982394366197183
18,gitk-git,1,6.264486625321055e-05
19,gitweb,31,0.001941990853849527
20,gitweb/static,18,0.5806451612903226
21,perl,4,0.0002505794650128422
22,t,4492,0.28140073920942177
23,t/lib-httpd,4,0.0008904719501335708
24,t/t4013,305,0.06789848619768478
25,t/t5100,6,0.0013357079252003562
26,t/valgrind,158,0.035173642030276044
27,xdiff,859,0.05381194011150786
