,dir,LoC,frac
0,,20908,0.0
1,Documentation,1232,0.05892481346852879
2,Documentation/technical,308,0.25
3,builtin,4154,0.1986799311268414
4,compat,23,0.001100057394298833
5,contrib,53,0.002534914865123398
6,contrib/completion,2,0.03773584905660377
7,contrib/examples,14,0.2641509433962264
8,contrib/fast-import,37,0.6981132075471698
9,ewah,18,0.0008609144824947389
10,t,5596,0.26764874689114215
11,t/perf,39,0.006969263759828449
12,t/t1509,71,0.012687634024303073
13,t/t4013,142,0.025375268048606146
14,t/t4100,2,0.00035739814152966406
15,templates,4,0.0001913143294432753
