,dir,LoC,frac
0,,764802,0.0
1,Documentation,82641,0.1080554182651196
2,Documentation/RelNotes,19709,0.2384893696833291
3,Documentation/howto,3025,0.036604106920293804
4,Documentation/technical,6533,0.07905277041662129
5,block-sha1,273,0.0003569551334855296
6,builtin,55958,0.07316664966880317
7,compat,25884,0.03384405375508955
8,compat/nedmalloc,7065,0.27294853963838667
9,compat/poll,679,0.026232421573172616
10,compat/regex,11478,0.4434399629114511
11,compat/vcbuild,266,0.010276618760624323
12,compat/vcbuild/include,136,0.5112781954887218
13,compat/vcbuild/include/sys,36,0.2647058823529412
14,compat/vcbuild/scripts,80,0.3007518796992481
15,compat/win32,511,0.019741925513830937
16,contrib,35890,0.04692717853771303
17,contrib/buildsystems,1473,0.041042073000835885
18,contrib/buildsystems/Generators,815,0.5532926001357773
19,contrib/completion,3641,0.10144887155196433
20,contrib/contacts,368,0.010253552521593759
21,contrib/convert-objects,358,0.009974923376985233
22,contrib/credential,1584,0.04413485650599053
23,contrib/credential/gnome-keyring,495,0.3125
24,contrib/credential/netrc,547,0.3453282828282828
25,contrib/credential/osxkeychain,200,0.12626262626262627
26,contrib/credential/wincred,342,0.2159090909090909
27,contrib/diff-highlight,411,0.01145165784341042
28,contrib/emacs,2249,0.06266369462245751
29,contrib/examples,7656,0.21331847311228755
30,contrib/fast-import,798,0.02223460573976038
31,contrib/git-jump,161,0.00448592922819727
32,contrib/git-shell-commands,46,0.0012816940651992198
33,contrib/gitview,1362,0.03794928949568125
34,contrib/hg-to-git,276,0.007690164391195319
35,contrib/hooks,6722,0.1872945110058512
36,contrib/hooks/multimail,5286,0.7863731032430824
37,contrib/hooks/multimail/doc,165,0.031214528944381384
38,contrib/mw-to-git,4094,0.11407077180273056
39,contrib/mw-to-git/Git,100,0.024425989252564728
40,contrib/mw-to-git/bin-wrapper,14,0.003419638495359062
41,contrib/mw-to-git/t,2182,0.5329750854909624
42,contrib/mw-to-git/t/install-wiki,249,0.11411549037580201
43,contrib/persistent-https,860,0.02396210643633324
44,contrib/remote-helpers,41,0.0011423794928949568
45,contrib/stats,308,0.008581777653942602
46,contrib/subtree,2702,0.07528559487322374
47,contrib/subtree/t,1103,0.4082161361954108
48,contrib/svn-fe,262,0.007300083588743383
49,contrib/thunderbird-patch-inline,75,0.0020897185845639454
50,contrib/workdir,105,0.0029256060183895237
51,ewah,1616,0.0021129651857604973
52,git-gui,53934,0.0705202130747566
53,git-gui/lib,12247,0.22707383097860348
54,git-gui/macosx,59,0.0010939296176808691
55,git-gui/po,37087,0.6876367412022101
56,git-gui/po/glossary,1628,0.043896783239410035
57,git-gui/windows,25,0.00046352949901731744
58,gitk-git,29385,0.03842170914825013
59,gitk-git/po,16801,0.5717542964097329
60,gitweb,11291,0.014763298213132287
61,gitweb/static,2285,0.202373571871402
62,gitweb/static/js,1599,0.6997811816192561
63,gitweb/static/js/lib,514,0.3214509068167605
64,mergetools,440,0.0005753123030536008
65,perl,8496,0.011108757560780438
66,perl/Git,5821,0.6851459510357816
67,perl/Git/SVN,3164,0.543549218347363
68,perl/Git/SVN/Memoize,93,0.029393173198482933
69,po,120787,0.15793237988394382
70,ppc,321,0.0004197164756368315
71,refs,3712,0.004853543793034014
72,t,167955,0.21960585877128982
73,t/Git-SVN,167,0.0009943139531422107
74,t/Git-SVN/Utils,153,0.9161676646706587
75,t/diff-lib,407,0.0024232681372986812
76,t/lib-gpg,146,0.0008692804620285196
77,t/lib-httpd,245,0.0014587240629930637
78,t/perf,993,0.005912297936947397
79,t/t0110,20,0.00011907951534637254
