,Total,.c,.sh,.txt,.h,,.perl,.po,.tcl,.py,.bash,.pm,.ac,.el,.conf,.in,.pot,.sample,.css,.pl,.master,.side,.uname,.js,.mbox,.diff,.expect,.xsl,.PL,.git,.t,.zsh,.tcsh,.S,.example,.git_one,.git_one_two,.go,.php,.supp,.Git,.config,.log_master,.plist,.rst,.show_master,.export,.gpg,.m4,.rc,.txto,.whatchanged_master,.NUL,.README,.cnf,.multiple,.netrc,.show_initial,.show_side,.subjectprefix_DIFFERENT_PREFIX,.yml
Total,40742.0,14352.0,9457.0,7276.0,2710.0,2506.0,1701.0,533.0,533.0,322.0,308.0,187.0,116.0,95.0,63.0,62.0,62.0,59.0,57.0,38.0,35.0,31.0,27.0,24.0,19.0,18.0,15.0,15.0,13.0,12.0,12.0,10.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Junio C Hamano,7747.0,2779,1713,1973,504,536,91,32,1,0,7,5,4,0,6,13,0,20,0,1,11,17,1,0,5,0,8,3,1,4,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
Jeff King,3070.0,1479,853,296,291,77,34,0,0,0,2,0,1,0,22,3,0,0,0,2,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nguyễn Thái Ngọc Duy,1680.0,994,226,174,210,55,0,0,0,0,1,0,0,0,0,1,0,2,0,0,7,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawn O. Pearce,1254.0,384,352,99,55,40,6,14,251,0,41,0,0,0,3,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Nieder,1159.0,300,373,305,62,65,12,0,0,0,3,15,1,0,2,0,0,0,0,1,0,0,1,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linus Torvalds,1088.0,770,78,16,136,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johannes Schindelin,1022.0,458,298,103,92,34,17,0,2,3,2,0,1,1,2,0,1,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
René Scharfe,761.0,514,104,60,73,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Haggerty,707.0,437,106,56,70,28,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
