,dir,LoC,frac
0,,14688,0.0
1,Documentation,114,0.007761437908496732
2,builtin,482,0.03281590413943355
3,compat,11021,0.7503404139433552
4,compat/regex,11021,1.0
5,contrib,41,0.0027913943355119828
6,contrib/examples,39,0.9512195121951219
7,contrib/fast-import,2,0.04878048780487805
8,gitweb,5,0.00034041394335511985
9,perl,109,0.007421023965141612
10,perl/Git,97,0.8899082568807339
11,po,296,0.020152505446623094
12,t,1568,0.10675381263616558
13,t/t0200,51,0.032525510204081634
14,t/t0202,110,0.07015306122448979
15,t/t9700,10,0.006377551020408163
